,,,0.01,0.05,0.001,0.005,0.0001
TRAIN_MC_dropout_quicknat_diabetes_status,diabetes_status,0,0.7882395382395382,0.7876984126984127,0.7878787878787878,0.788059163059163,0.7878787878787878
TRAIN_MC_dropout_quicknat_diabetes_status_liver_seg_reg_iou,diabetes_status_liver_seg_reg_iou,0,0.7994227994227995,0.6935425685425685,0.7831890331890332,0.8033910533910533,0.7804834054834056
TRAIN_MC_dropout_quicknat_diabetes_status_liver_with_seg_and_iou,diabetes_status_liver_with_seg_and_iou,0,0.7931096681096681,0.7929292929292929,0.7932900432900433,0.7931096681096681,0.7931096681096681
TRAIN_MC_dropout_quicknat_diabetes_status_liver_with_seg_dot_iou,diabetes_status_liver_with_seg_dot_iou,0,0.6982323232323233,0.7462121212121211,0.6865079365079365,0.6902958152958154,0.6857864357864357
TRAIN_MC_dropout_quicknat_diabetes_status_liver_with_seg_volumes,diabetes_status_liver_with_seg_volumes,0,0.7941919191919191,0.7923881673881674,0.7940115440115441,0.7940115440115441,0.7940115440115441
TRAIN_full_bayesian_0dot01_diabetes_status,diabetes_status,0,0.7882395382395382,0.7876984126984127,0.7878787878787878,0.788059163059163,0.7878787878787878
TRAIN_full_bayesian_0dot01_diabetes_status_liver_seg_reg_iou,diabetes_status_liver_seg_reg_iou,0,0.7929292929292929,0.5710678210678211,0.7997835497835498,0.8024891774891775,0.797077922077922
TRAIN_full_bayesian_0dot01_diabetes_status_liver_with_seg_and_iou,diabetes_status_liver_with_seg_and_iou,0,0.8176406926406926,0.8172799422799423,0.8174603174603173,0.8176406926406926,0.8174603174603173
TRAIN_full_bayesian_0dot01_diabetes_status_liver_with_seg_dot_iou,diabetes_status_liver_with_seg_dot_iou,0,0.8165584415584416,0.8152958152958153,0.8165584415584416,0.8169191919191919,0.8165584415584416
TRAIN_full_bayesian_0dot01_diabetes_status_liver_with_seg_volumes,diabetes_status_liver_with_seg_volumes,0,0.7617243867243868,0.8051948051948051,0.8039321789321789,0.8037518037518037,0.8037518037518038
TRAIN_hierarchical_quicknat_diabetes_status,diabetes_status,0,0.7882395382395382,0.7876984126984127,0.7878787878787878,0.788059163059163,0.7878787878787878
TRAIN_hierarchical_quicknat_diabetes_status_liver_seg_reg_iou,diabetes_status_liver_seg_reg_iou,0,0.8012265512265512,0.6942640692640693,0.7987012987012987,0.806998556998557,0.7976190476190476
TRAIN_hierarchical_quicknat_diabetes_status_liver_with_seg_and_iou,diabetes_status_liver_with_seg_and_iou,0,0.812049062049062,0.8104256854256854,0.8125901875901876,0.8127705627705628,0.8129509379509379
TRAIN_hierarchical_quicknat_diabetes_status_liver_with_seg_dot_iou,diabetes_status_liver_with_seg_dot_iou,0,0.8136724386724387,0.8066378066378067,0.814935064935065,0.8154761904761905,0.814935064935065
TRAIN_hierarchical_quicknat_diabetes_status_liver_with_seg_volumes,diabetes_status_liver_with_seg_volumes,0,0.8055555555555556,0.7930194805194806,0.8050144300144301,0.8053751803751804,0.8050144300144301
TRAIN_probabilistic_quicknat_diabetes_status,diabetes_status,0,0.7882395382395382,0.7876984126984127,0.7878787878787878,0.788059163059163,0.7878787878787878
TRAIN_probabilistic_quicknat_diabetes_status_liver_seg_reg_iou,diabetes_status_liver_seg_reg_iou,0,0.8051948051948051,0.6953463203463203,0.7994227994227994,0.8082611832611832,0.7963564213564214
TRAIN_probabilistic_quicknat_diabetes_status_liver_with_seg_and_iou,diabetes_status_liver_with_seg_and_iou,0,0.8124098124098125,0.8075396825396826,0.8111471861471862,0.8116883116883117,0.810966810966811
TRAIN_probabilistic_quicknat_diabetes_status_liver_with_seg_dot_iou,diabetes_status_liver_with_seg_dot_iou,0,0.8152958152958153,0.795544733044733,0.8178210678210679,0.8185425685425686,0.8152958152958153
TRAIN_probabilistic_quicknat_diabetes_status_liver_with_seg_volumes,diabetes_status_liver_with_seg_volumes,0,0.7617243867243868,0.8066378066378066,0.8055555555555555,0.8059163059163059,0.8055555555555555
